Id,Label,timeset,incidência-2017,incidência - 2018,incidência - 2019,modularity_class,pageranks
Antônio Prado de Minas,Antônio Prado de Minas,,0,0,186.45,3,0.000549
Abre Campo,Abre Campo,,0,7.28,126.25,3,0.00208
Sericita,Sericita,,0,0,109.3,3,0.00025
Coronel Xavier Chaves,Coronel Xavier Chaves,,86.93,28.81,116.75,2,0.000345
Resende Costa,Resende Costa,,0,0,69.81,2,0.000777
Guidoval,Guidoval,,54.59,1123.29,56.3,2,0.000252
Itanhomi,Itanhomi,,72.93,16.14,0,1,0.000698
Tarumirim,Tarumirim,,272.63,47.73,20.91,1,0.001052
Caeté,Caeté,,16,33.8,1602.18,0,0.000699
Taquaraçu de Minas,Taquaraçu de Minas,,49.63,0,2145.5,0,0.000725
Wenceslau Braz,Wenceslau Braz,,0,0,39.09,4,0.000285
Oratórios,Oratórios,,0,0,215.19,3,0.000263
Ponte Nova,Ponte Nova,,0,33.13,203,3,0.004968
Coronel Murta,Coronel Murta,,53.19,0,86.69,0,0.000784
Alto Rio Doce,Alto Rio Doce,,0,8.55,0,2,0.000932
Rubelita,Rubelita,,0,29.46,596.97,0,0.00043
Salinas,Salinas,,7.26,7.2,1197.13,5,0.003439
Sacramento,Sacramento,,54.62,246.17,1188.96,6,0.001126
Serra do Salitre,Serra do Salitre,,26.49,34.81,582.96,6,0.000677
Cristália,Cristália,,16.64,165.51,335.57,5,0.000441
Além Paraíba,Além Paraíba,,2.8,25.09,42.47,2,0.00246
Belo Oriente,Belo Oriente,,93.68,1093.36,238.67,0,0.001435
Timóteo,Timóteo,,213.61,666.81,141.43,1,0.004473
Belmiro Braga,Belmiro Braga,,0,28.55,203.9,2,0.000426
Juiz de Fora,Juiz de Fora,,16.75,25.19,386.67,2,0.010681
Sabará,Sabará,,212.08,119.88,3140.58,0,0.000405
Iapu,Iapu,,82.8,54.73,64.42,1,0.001596
São João do Oriente,São João do Oriente,,63.39,38.37,26.48,1,0.000746
Ponto dos Volantes,Ponto dos Volantes,,49.93,16.48,16.58,1,0.001612
Lambari,Lambari,,19.35,9.58,14.48,4,0.001546
Pouso Alegre,Pouso Alegre,,6.95,4.76,34.93,4,0.005892
Alfenas,Alfenas,,66.06,169.37,710.86,4,0.003897
Fama,Fama,,247.63,82.44,210.17,4,0.000254
Aracitaba,Aracitaba,,0,47.37,0,2,0.000466
Oliveira Fortes,Oliveira Fortes,,0,0,0,2,0.000466
Carmo de Minas,Carmo de Minas,,0,0,6.77,4,0.001888
São Lourenço,São Lourenço,,2.23,4.4,19.79,4,0.002898
Casa Grande,Casa Grande,,86.66,43.31,0,2,0.000444
Queluzito,Queluzito,,0,0,0,2,0.000444
Ladainha,Ladainha,,261.46,0,0,1,0.000376
Novo Cruzeiro,Novo Cruzeiro,,72.32,0,6.38,0,0.001251
Matozinhos,Matozinhos,,24.51,29.46,3188.96,5,0.001164
Aimorés,Aimorés,,217.95,54.45,519.99,1,0.001493
Inhapim,Inhapim,,471.11,28.23,45.45,1,0.00305
São Sebastião do Anta,São Sebastião do Anta,,0,46.74,632.81,1,0.000426
Laranjal,Laranjal,,44.12,14.59,58.94,2,0.001719
Pocrane,Pocrane,,0,0,1633.76,3,0.001155
Jacinto,Jacinto,,271.2,445.82,89.22,1,0.001255
Corinto,Corinto,,130.98,36.91,3525.65,5,0.002461
Morro da Garça,Morro da Garça,,38.02,0,2532.15,5,0.000314
Lagoa Santa,Lagoa Santa,,43.5,51.82,5449.9,0,0.001327
Itaipé,Itaipé,,7.95,7.86,7.89,0,0.000378
Setubinha,Setubinha,,701.19,16.58,115.38,0,0.001081
Chácara,Chácara,,230.11,0,1025.31,2,0.000252
Palmópolis,Palmópolis,,0,0,0,1,0.000469
Buritizeiro,Buritizeiro,,113.62,35.29,1786.48,6,0.000255
Uberlândia,Uberlândia,,264.96,266.33,5539.43,6,0.006036
São José da Safira,São José da Safira,,538.14,23.24,1786.13,0,0.000485
Baependi,Baependi,,20.85,5.18,31.42,4,0.001798
Vargem Alegre,Vargem Alegre,,195.96,90.47,61.62,1,0.000458
Divinolândia de Minas,Divinolândia de Minas,,13.38,0,26.57,0,0.001896
Virginópolis,Virginópolis,,0,0,9.49,0,0.001896
Sapucaí-Mirim,Sapucaí-Mirim,,14.84,43.8,0,4,0.000642
Diamantina,Diamantina,,379.55,58.06,1413.36,0,0.002284
Felício dos Santos,Felício dos Santos,,0,0,104.08,0,0.000373
Amparo do Serra,Amparo do Serra,,0,20.31,42.1,3,0.000263
Prudente de Morais,Prudente de Morais,,77.01,75.64,1006.68,5,0.001375
Lajinha,Lajinha,,24.68,19.7,170.61,3,0.001392
Rio Casca,Rio Casca,,35.1,21.23,263.56,3,0.002965
Bom Jesus do Galho,Bom Jesus do Galho,,32.17,64.69,186.54,1,0.000997
Coronel Fabriciano,Coronel Fabriciano,,779.06,2874.21,129.79,1,0.005941
Itabira,Itabira,,63.76,23.47,52.86,0,0.003708
Itambé do Mato Dentro,Itambé do Mato Dentro,,0,0,0,0,0.000433
Nova União,Nova União,,103.82,120.61,1399.09,0,0.000247
Itanhandu,Itanhandu,,19.86,6.54,19.69,4,0.001438
São Sebastião do Rio Verde,São Sebastião do Rio Verde,,44.88,44.46,0,4,0.00053
João Monlevade,João Monlevade,,34.36,10.05,1274.77,1,0.005783
Santo Antônio do Itambé,Santo Antônio do Itambé,,24.43,0,670.62,0,0.000767
Serro,Serro,,14,9.33,228.65,0,0.001528
Serra dos Aimorés,Serra dos Aimorés,,171.1,68.11,0,0,0.00031
Pedra Azul,Pedra Azul,,397.03,8.08,57.57,1,0.001521
Mesquita,Mesquita,,100.12,169.18,17.65,0,0.000649
Santana do Paraíso,Santana do Paraíso,,221.49,1443.89,138.5,0,0.000582
Rio Doce,Rio Doce,,38.46,0,38.48,1,0.000786
Materlândia,Materlândia,,0,21.65,2030.34,0,0.000639
Rio Vermelho,Rio Vermelho,,7.35,0,933.86,0,0.000981
Coroaci,Coroaci,,67.35,9.67,39.84,0,0.001484
Santo Antônio do Aventureiro,Santo Antônio do Aventureiro,,0,0,55.52,2,0.000259
Araponga,Araponga,,0,0,47.48,2,0.000605
São Miguel do Anta,São Miguel do Anta,,0,0,100.97,2,0.000605
Brasília de Minas,Brasília de Minas,,1716.62,9.17,2217.54,5,0.001039
Luislândia,Luislândia,,462,59.21,3398.2,5,0.001052
Chiador,Chiador,,0,0,0,2,0.000354
Dores de Guanhães,Dores de Guanhães,,37.54,0,0,0,0.000999
Ferros,Ferros,,9.42,19.17,110.56,0,0.000616
Entre Folhas,Entre Folhas,,18.57,36.74,2144.72,1,0.000458
Franciscópolis,Franciscópolis,,104.44,17.63,91.81,0,0.000782
Malacacheta,Malacacheta,,46.9,5.22,69.52,0,0.001762
Natércia,Natércia,,0,0,0,4,0.001126
São Sebastião da Bela Vista,São Sebastião da Bela Vista,,0,0,0,4,0.000594
Simonésia,Simonésia,,0,5.09,20.48,3,0.001253
São Domingos das Dores,São Domingos das Dores,,0,0,0,1,0.000426
Ouro Preto,Ouro Preto,,14.86,5.36,114.87,3,0.003245
Piranguinho,Piranguinho,,0,0,81.87,4,0.002469
