Id,Label,timeset,incidência-2017,incidência - 2018,incidência - 2019,modularity_class,pageranks
Vazante,Vazante,,19.37,211.7,3515.61,6,0.000789
Santo Antônio do Monte,Santo Antônio do Monte,,14.41,24.9,766.38,6,0.000705
Conceição da Barra de Minas,Conceição da Barra de Minas,,0,49.38,75.72,2,0.000251
Novorizonte,Novorizonte,,0,0,227.57,5,0.000265
Lagamar,Lagamar,,12.82,12.83,1756.92,6,0.000561
Varjão de Minas,Varjão de Minas,,44.37,28.79,961.67,6,0.00072
Conquista,Conquista,,145.03,201.15,2417.49,6,0.000332
"Água Comprida",Água Comprida,,193.8,242.95,2094.76,6,0.000258
Ponto Chique,Ponto Chique,,0,986.15,1203.68,5,0.00033
Tapira,Tapira,,22.02,0,21.23,6,0.000246
Ibiaí,Ibiaí,,12.03,35.71,1903.96,5,0.00033
José Gonçalves de Minas,José Gonçalves de Minas,,0,0,2369.35,0,0.000393
Grupiara,Grupiara,,282.49,0,7343.41,6,0.000255
Cabeceira Grande,Cabeceira Grande,,87.45,86.46,2084.24,5,0.000266
Formoso,Formoso,,22.06,0,561.98,5,0.000263
Serranópolis de Minas,Serranópolis de Minas,,42.44,83.88,105.22,5,0.000261
Guaraciama,Guaraciama,,100.77,1679.66,2563.58,5,0.000246
Francisco Badaró,Francisco Badaró,,0,9.47,2020.69,0,0.000315
Santana do Garambéu,Santana do Garambéu,,0,0,0,2,0.000254
