Id,Label,timeset,modularity_class,pageranks
Sericita,Sericita,,3,0.00025
Coronel Xavier Chaves,Coronel Xavier Chaves,,5,0.000345
Resende Costa,Resende Costa,,5,0.000777
Guidoval,Guidoval,,5,0.000252
Itanhomi,Itanhomi,,3,0.000698
Tarumirim,Tarumirim,,3,0.001052
Caeté,Caeté,,0,0.000699
Taquaraçu de Minas,Taquaraçu de Minas,,0,0.000725
Wenceslau Braz,Wenceslau Braz,,1,0.000285
Oratórios,Oratórios,,3,0.000263
Ponte Nova,Ponte Nova,,3,0.004968
Coronel Murta,Coronel Murta,,3,0.000784
Alto Rio Doce,Alto Rio Doce,,5,0.000932
Rubelita,Rubelita,,3,0.00043
Salinas,Salinas,,0,0.003439
Sacramento,Sacramento,,6,0.001126
Serra do Salitre,Serra do Salitre,,6,0.000677
Cristália,Cristália,,0,0.000441
Além Paraíba,Além Paraíba,,5,0.00246
Belo Oriente,Belo Oriente,,4,0.001435
Timóteo,Timóteo,,3,0.004473
Belmiro Braga,Belmiro Braga,,5,0.000426
Juiz de Fora,Juiz de Fora,,5,0.010681
Sabará,Sabará,,0,0.000405
Iapu,Iapu,,3,0.001596
Săo Joăo do Oriente,Săo Joăo do Oriente,,3,0.000746
Ponto dos Volantes,Ponto dos Volantes,,3,0.001612
Lambari,Lambari,,1,0.001546
Pouso Alegre,Pouso Alegre,,1,0.005892
Alfenas,Alfenas,,2,0.003897
Fama,Fama,,2,0.000254
Aracitaba,Aracitaba,,5,0.000466
Oliveira Fortes,Oliveira Fortes,,5,0.000466
Carmo de Minas,Carmo de Minas,,1,0.001888
Săo Lourenço,Săo Lourenço,,1,0.002898
Casa Grande,Casa Grande,,5,0.000444
Queluzito,Queluzito,,5,0.000444
Ladainha,Ladainha,,4,0.000376
Novo Cruzeiro,Novo Cruzeiro,,4,0.001251
Matozinhos,Matozinhos,,0,0.001164
Aimorés,Aimorés,,3,0.001493
Inhapim,Inhapim,,3,0.00305
Săo Sebastiăo do Anta,Săo Sebastiăo do Anta,,3,0.000426
Laranjal,Laranjal,,5,0.001719
Pocrane,Pocrane,,3,0.001155
Jacinto,Jacinto,,3,0.001255
Corinto,Corinto,,0,0.002461
Morro da Garça,Morro da Garça,,0,0.000314
Lagoa Santa,Lagoa Santa,,4,0.001327
Itaipé,Itaipé,,4,0.000378
Setubinha,Setubinha,,4,0.001081
Chácara,Chácara,,5,0.000252
Palmópolis,Palmópolis,,3,0.000469
Buritizeiro,Buritizeiro,,6,0.000255
Uberlândia,Uberlândia,,6,0.006036
Săo José da Safira,Săo José da Safira,,4,0.000485
Baependi,Baependi,,1,0.001798
Vargem Alegre,Vargem Alegre,,3,0.000458
Divinolândia de Minas,Divinolândia de Minas,,4,0.001896
Virginópolis,Virginópolis,,4,0.001896
Sapucaí-Mirim,Sapucaí-Mirim,,1,0.000642
Diamantina,Diamantina,,4,0.002284
Felício dos Santos,Felício dos Santos,,4,0.000373
Amparo do Serra,Amparo do Serra,,3,0.000263
Prudente de Morais,Prudente de Morais,,0,0.001375
Lajinha,Lajinha,,3,0.001392
Rio Casca,Rio Casca,,3,0.002965
Bom Jesus do Galho,Bom Jesus do Galho,,3,0.000997
Coronel Fabriciano,Coronel Fabriciano,,3,0.005941
Itabira,Itabira,,4,0.003708
Itambé do Mato Dentro,Itambé do Mato Dentro,,0,0.000433
Nova Uniăo,Nova Uniăo,,0,0.000247
Itanhandu,Itanhandu,,1,0.001438
Săo Sebastiăo do Rio Verde,Săo Sebastiăo do Rio Verde,,1,0.00053
Joăo Monlevade,Joăo Monlevade,,3,0.005783
Santo Antônio do Itambé,Santo Antônio do Itambé,,4,0.000767
Serro,Serro,,4,0.001528
Serra dos Aimorés,Serra dos Aimorés,,0,0.00031
Pedra Azul,Pedra Azul,,3,0.001521
Mesquita,Mesquita,,4,0.000649
Santana do Paraíso,Santana do Paraíso,,4,0.000582
Rio Doce,Rio Doce,,3,0.000786
Materlândia,Materlândia,,4,0.000639
Rio Vermelho,Rio Vermelho,,4,0.000981
Coroaci,Coroaci,,4,0.001484
Santo Antônio do Aventureiro,Santo Antônio do Aventureiro,,5,0.000259
Araponga,Araponga,,5,0.000605
Săo Miguel do Anta,Săo Miguel do Anta,,5,0.000605
Brasília de Minas,Brasília de Minas,,0,0.001039
Luislândia,Luislândia,,0,0.001052
Chiador,Chiador,,5,0.000354
Dores de Guanhăes,Dores de Guanhăes,,4,0.000999
Ferros,Ferros,,4,0.000616
Entre Folhas,Entre Folhas,,3,0.000458
Franciscópolis,Franciscópolis,,4,0.000782
Malacacheta,Malacacheta,,4,0.001762
Natércia,Natércia,,1,0.001126
Săo Sebastiăo da Bela Vista,Săo Sebastiăo da Bela Vista,,1,0.000594
Simonésia,Simonésia,,3,0.001253
Săo Domingos das Dores,Săo Domingos das Dores,,3,0.000426
Ouro Preto,Ouro Preto,,3,0.003245
Piranguinho,Piranguinho,,1,0.002469
Luisburgo,Luisburgo,,3,0.000248
Lamim,Lamim,,5,0.000764
Senador Firmino,Senador Firmino,,5,0.001284
Săo Gonçalo do Rio Preto,Săo Gonçalo do Rio Preto,,4,0.00128
Campos Altos,Campos Altos,,6,0.002328
Santa Rosa da Serra,Santa Rosa da Serra,,6,0.000511
Turmalina,Turmalina,,4,0.001825
Fruta de Leite,Fruta de Leite,,0,0.000265
Monjolos,Monjolos,,4,0.000309
Nanuque,Nanuque,,3,0.001856
Umburatiba,Umburatiba,,3,0.000369
Alfredo Vasconcelos,Alfredo Vasconcelos,,5,0.000655
Barbacena,Barbacena,,5,0.005934
Barăo de Cocais,Barăo de Cocais,,3,0.001576
Santa Bárbara,Santa Bárbara,,3,0.001055
Viçosa,Viçosa,,5,0.003392
Machacalis,Machacalis,,3,0.00133
Dionísio,Dionísio,,3,0.00079
Marliéria,Marliéria,,3,0.000488
Săo José do Goiabal,Săo José do Goiabal,,3,0.00076
Săo Joăo da Ponte,Săo Joăo da Ponte,,0,0.000488
Oliveira,Oliveira,,6,0.002322
Săo Francisco de Paula,Săo Francisco de Paula,,6,0.00039
Paula Cândido,Paula Cândido,,5,0.000262
Itamarati de Minas,Itamarati de Minas,,5,0.000263
