source,target,weight
Comendador Gomes,Planura,90
Lavras,Mariana,330
Belo Horizonte,Comercinho,651
Antônio Dias,Ipatinga,100
Manhuaçu,Matipó,60
Fervedouro,Manhumirim,140
Cordislândia,Machado,90
Almenara,Rio do Prado,110
Barbacena,Cipotânea,140
Congonhas,Ouro Branco,30
Juiz de Fora,Matias Barbosa,30
Piranga,Presidente Bernardes,40
Coronel Fabriciano,Jaguaraçu,45
Juruaia,Muzambinho,45
Careaçu,Varginha,125
Coronel Fabriciano,Entre Folhas,120
Santa Maria de Itabira,Santo Antônio do Rio Abaixo,95
Natércia,Pedralva,80
Itanhandu,Virgínia,75
Barbacena,Ibertioga,60
Fervedouro,Orizânia,60
Itumirim,Nazareno,60
Jacuí,São Sebastião do Paraíso,60
Ponte Nova,Rio Piracicaba,180
Belo Horizonte,Jequitinhonha,585
Alterosa,Botelhos,175
Caratinga,Coronel Fabriciano,110
Águas Formosas,Fronteira dos Vales,35
Bonito de Minas,Januária,70
Dom Silvério,Sem-Peixe,35
Belo Oriente,São Pedro do Suaçuí,305
Botelhos,Carmo do Rio Claro,245
Cristiano Otoni,Santana dos Montes,30
Cascalho Rico,Patrocínio,230
Januária,João Pinheiro,510
Dionísio,Nova Era,80
Caraí,Catuji,45
Casa Grande,Conselheiro Lafaiete,45
Conceição do Rio Verde,Varginha,130
José Raydan,Peçanha,60
Carangola,São Francisco do Glória,80
Itajubá,Piranguinho,20
Governador Valadares,Nacip Raydan,180
Abadia dos Dourados,Romaria,70
Ouro Fino,Piranguinho,145
Alvarenga,Conselheiro Pena,150
Barroso,São João del Rei,60
Cabo Verde,Monte Belo,60
Córrego Fundo,Pains,30
Presidente Bernardes,Senador Firmino,60
Cabo Verde,Conceição da Aparecida,180
Conselheiro Pena,Governador Valadares,85
Gonçalves,Paraisópolis,40
Campanha,Santa Rita do Sapucaí,155
Ipiaçu,Ituiutaba,90
Betim,Itacarambi,690
Betim,Itinga,690
João Monlevade,Rubim,690
Passabém,Santo Antônio do Rio Abaixo,50
Braúnas,Ipatinga,150
Itabira,Santo Antônio do Rio Abaixo,150
Alpinópolis,Cabo Verde,250
Botumirim,Francisco Sá,150
Natércia,São José do Alegre,90
Borda da Mata,Itajubá,120
Bambuí,São Lourenço,375
Araponga,Canaã,30
Bela Vista de Minas,Dionísio,100
Brasília de Minas,Montes Claros,120
Brás Pires,Senhora de Oliveira,30
Canaã,São Miguel do Anta,30
Carmo do Cajuru,Divinópolis,20
Catas Altas da Noruega,Lamim,20
Conceição de Ipanema,Pocrane,70
São Geraldo,Visconde do Rio Branco,20
São João del Rei,Tiradentes,20
Morro do Pilar,Santa Maria de Itabira,145
Fervedouro,Reduto,140
Coluna,Guanhães,180
São Sebastião do Paraíso,Turmalina,960
Setubinha,Teófilo Otoni,180
Caranaíba,Conselheiro Lafaiete,60
Alto Rio Doce,Barbacena,100
Araçuaí,Itaobim,90
Espera Feliz,Fervedouro,90
Carmo de Minas,Passa Quatro,120
Formiga,Lagoa da Prata,120
Braúnas,Santa Maria de Itabira,255
Lavras,Ouro Preto,300
Baependi,Soledade de Minas,55
Bonfim,Ibirité,110
Juiz de Fora,Piau,70
Águas Formosas,Umburatiba,90
Igaratinga,Pará de Minas,30
Palmópolis,Rubim,90
Coroaci,São Pedro do Suaçuí,110
Aracitaba,Santos Dumont,50
Bueno Brandão,Ouro Fino,50
Juiz de Fora,Simão Pereira,50
Coronel Fabriciano,São José do Jacuri,420
Rio Espera,Santana dos Montes,70
Estiva,Extrema,90
Cataguases,Palma,75
Barroso,Ressaquinha,80
Conselheiro Lafaiete,São Brás do Suaçuí,40
Açucena,Coronel Fabriciano,120
Iapu,Itanhomi,120
Almenara,Pedra Azul,150
Belo Horizonte,São João da Lagoa,450
Pedras de Maria da Cruz,São Romão,225
Baependi,São Lourenço,70
Ipaba,Ipatinga,25
Itajubá,Jacutinga,180
Espera Feliz,Ponte Nova,240
Monte Alegre de Minas,Santa Juliana,130
Conceição da Aparecida,Monte Belo,120
Coronel Xavier Chaves,São João del Rei,30
Frei Inocêncio,Jampruca,30
Santa Maria de Itabira,São Sebastião do Rio Preto,60
Divinópolis,Itaguara,150
Coronel Fabriciano,São Pedro do Suaçuí,385
Morro do Pilar,Passabém,100
Januária,São João das Missões,140
Jequitaí,São João do Pacuí,140
Iturama,União de Minas,50
João Monlevade,Rio Doce,150
Durandé,Lajinha,40
Extrema,Toledo,40
Careaçu,Lambari,85
Capetinga,Itaú de Minas,80
Divisa Alegre,Paracatu,720
Salinas,Santa Cruz de Salinas,140
Coroaci,Santa Maria do Suaçuí,150
Jacutinga,Santa Rita do Sapucaí,130
Bocaiúva,São Francisco,270
Além Paraíba,Juiz de Fora,150
Caratinga,Ipanema,150
Lagoa Grande,Patos de Minas,150
Bocaiúva,Engenheiro Navarro,25
Bom Despacho,Perdizes,250
Camacho,Itapecerica,40
José Raydan,Santa Maria do Suaçuí,20
Laranjal,Palma,20
Luislândia,Montes Claros,150
Bom Jesus do Galho,Pingo-d'Água,60
Governador Valadares,São Pedro do Suaçuí,240
Montes Claros,São Francisco,180
Botelhos,Conceição da Aparecida,215
Alpinópolis,Botelhos,285
Minas Novas,São Sebastião do Paraíso,960
Governador Valadares,Nova Módica,140
Alfenas,Alpinópolis,175
Capetinga,Cássia,25
Capela Nova,Conselheiro Lafaiete,105
Carvalhópolis,São Gonçalo do Sapucaí,100
Belo Horizonte,Santa Helena de Minas,720
Januária,Pirapora,360
João Monlevade,São José do Goiabal,140
Itabira,Morro do Pilar,195
Divino,Pedra Bonita,60
Barroso,Prados,50
Conceição do Rio Verde,Três Corações,80
Santa Bárbara do Leste,Vermelho Novo,40
Dores de Campos,São João del Rei,75
Aiuruoca,Andrelândia,220
Aimorés,Conceição de Ipanema,220
Belo Horizonte,Coração de Jesus,440
Belo Horizonte,Mata Verde,660
Caratinga,Vermelho Novo,75
Morro do Pilar,Santo Antônio do Rio Abaixo,50
Paraisópolis,Pouso Alegre,105
Carmo de Minas,Itanhandu,90
Santa Maria do Suaçuí,Senhora do Porto,220
Almenara,Divisa Alegre,210
Arantina,Bom Jardim de Minas,20
Conselheiro Lafaiete,Jeceaba,60
Cristiano Otoni,Rio Espera,100
Indianópolis,Romaria,60
Passabém,Santa Maria de Itabira,40
Pingo-d'Água,Timóteo,100
Braúnas,Ferros,195
Coroaci,José Raydan,90
Açucena,Virginópolis,80
Itabirito,Ouro Branco,140
Divisa Alegre,Teófilo Otoni,300
São Sebastião do Paraíso,Virgem da Lapa,1030
Águas Formosas,Belo Horizonte,600
Antônio Dias,Coronel Fabriciano,60
Araporã,Tupaciguara,60
Ataléia,Teófilo Otoni,90
Belo Horizonte,Crisólita,600
Belo Horizonte,Pedra Azul,600
Brasília de Minas,São Francisco,60
Carangola,Tombos,30
Crucilândia,Sarzedo,135
Cuparaque,Goiabeira,30
Divinésia,Senador Firmino,30
Estiva,Pouso Alegre,30
Fronteira dos Vales,Joaíma,60
Ilicínea,Três Pontas,120
Ipanema,Taparuba,30
Itacarambi,Montalvânia,180
João Pinheiro,Taiobeiras,540
Manhuaçu,Alto Jequitibá,45
Pocrane,Taparuba,30
Belo Horizonte,Porteirinha,545
Dom Cavati,Itanhomi,85
Itabira,São Sebastião do Rio Preto,110
Governador Valadares,Rubim,490
Itaúna,Pará de Minas,40
Morro do Pilar,São Sebastião do Rio Preto,80
Sardoá,Virginópolis,90
Baldim,Belo Horizonte,125
Marliéria,Timóteo,50
Paulistas,São João Evangelista,50
Santo Antônio do Amparo,Três Pontas,225
Ipuiúna,Poços de Caldas,120
Crucilândia,Ibirité,140
Aimorés,Simonésia,80
Belo Oriente,São José do Jacuri,315
Campina Verde,Planura,150
Natércia,Piranguinho,115
Araponga,Viçosa,90
Cajuri,Viçosa,30
Carvalhópolis,Machado,20
Conceição do Pará,Pitangui,20
Consolação,Paraisópolis,40
Dom Joaquim,Senhora do Porto,40
Maravilhas,Papagaios,20
Borda da Mata,Piranguinho,105
Betim,Mirabela,540
Bocaiúva,Brasília de Minas,200
Lavras,Luminárias,75
Carmo do Cajuru,Itaguara,120
Caxambu,São Lourenço,55
Campos Altos,Nova Ponte,360
Pedras de Maria da Cruz,São Francisco,110
Dom Cavati,Eugenópolis,680
Areado,Botelhos,140
Guaraciaba,Viçosa,70
Curral de Dentro,Santa Cruz de Salinas,50
Engenheiro Caldas,Fernandes Tourinho,25
Alvinópolis,São Gonçalo do Rio Abaixo,130
José Raydan,São João Evangelista,65
Patos de Minas,Taiobeiras,840
Carbonita,São Pedro do Suaçuí,200
Caxambu,Soledade de Minas,40
Conselheiro Lafaiete,Itaverava,40
Bom Jesus do Galho,Córrego Novo,30
Campo Belo,Cristais,60
Santa Luzia,Taquaraçu de Minas,60
São Lourenço,Soledade de Minas,15
Alvinópolis,João Monlevade,90
Andradas,Varginha,300
Bom Jesus do Amparo,Itambé do Mato Dentro,90
Capela Nova,Caranaíba,45
Belo Horizonte,Itambé do Mato Dentro,215
Carmésia,Lagoa Santa,295
Belo Horizonte,Montalvânia,835
Montes Claros,São João das Missões,310
Almenara,Palmópolis,140
Bocaiúva,Luislândia,230
Alvorada de Minas,Conceição do Mato Dentro,90
Formiga,Iguatama,90
Brazópolis,Sapucaí-Mirim,55
Alvarenga,Tarumirim,80
Belo Horizonte,Cônego Marinho,640
Belo Horizonte,Taiobeiras,640
Crucilândia,Mário Campos,120
Durandé,Manhuaçu,60
São Gonçalo do Rio Preto,Inimutaba,300
Frutal,Itapagipe,60
Itamogi,Monte Santo de Minas,20
Januária,Montalvânia,240
Lambari,Passa Quatro,180
Lima Duarte,Santa Bárbara do Monte Verde,80
Padre Paraíso,Teófilo Otoni,80
Tocantins,Ubá,20
Montes Claros,Taiobeiras,270
Açucena,Timóteo,145
Crucilândia,Piracema,70
Itambacuri,Nanuque,210
Araçuaí,São Sebastião do Paraíso,1050
Belo Oriente,Virginópolis,120
Ipanema,Piedade de Caratinga,120
Carmo do Rio Claro,Poços de Caldas,295
Guaranésia,Guaxupé,15
São José do Mantimento,Simonésia,50
Carlos Chagas,Itambacuri,150
Catuji,Medina,150
Baependi,Cruzília,30
Caldas,Ipuiúna,60
Manhuaçu,São José do Mantimento,75
Januária,Paracatu,530
Brazópolis,Gonçalves,80
Governador Valadares,São José da Safira,160
Itajubá,Uberlândia,720
Ervália,Muriaé,90
Capetinga,Passos,100
Ipatinga,Raul Soares,300
Carangola,Leopoldina,145
Rio Piracicaba,São Gonçalo do Rio Abaixo,65
Careaçu,Itajubá,100
Coronel Fabriciano,Raul Soares,270
Fortaleza de Minas,Passos,34
Conceição da Aparecida,Muzambinho,150
Aimorés,Governador Valadares,170
Barroso,Santos Dumont,75
Cambuquira,Três Corações,20
Cantagalo,Coroaci,105
Córrego Novo,Pingo-d'Água,30
Crucilândia,Itaguara,35
Cruzeiro da Fortaleza,Guimarânia,25
Dores de Guanhães,Senhora do Porto,65
Formiga,Japaraíba,100
Governador Valadares,Itanhomi,90
Guanhães,Serro,120
Mateus Leme,Pará de Minas,40
Peçanha,São Pedro do Suaçuí,40
Rio Pomba,Silveirânia,30
Açucena,São João Evangelista,180
Belo Horizonte,Machacalis,630
Belo Horizonte,Santo Antônio do Jacinto,840
Betim,Pedras de Maria da Cruz,630
Contagem,Teófilo Otoni,420
Curvelo,São Gonçalo do Rio Preto,315
Divinópolis,Montes Claros,420
Gonçalves,Piranguinho,105
Divinolândia de Minas,São Pedro do Suaçuí,180
Belo Horizonte,Espera Feliz,360
Cataguases,Piraúba,70
Comercinho,Governador Valadares,367
Açucena,Itamarandiba,395
Novo Oriente de Minas,Santa Helena de Minas,170
Minas Novas,Perdões,785
Passa Quatro,Pouso Alto,55
Itinga,Teófilo Otoni,210
Caetanópolis,Sete Lagoas,40
Dona Eusébia,Tocantins,80
Governador Valadares,Tarumirim,120
Pedro Leopoldo,Sete Lagoas,40
Bonfim,Itaguara,70
Jaguaraçu,Timóteo,35
Jesuânia,Pouso Alto,105
Jesuânia,Passa Quatro,160
Belo Horizonte,Capim Branco,60
Candeias,Cristais,90
Esmeraldas,Sete Lagoas,120
Ibituruna,Nazareno,30
Luz,Nova Serrana,60
Olímpio Noronha,Passa Quatro,150
Alvinópolis,Rio Doce,55
Jequitaí,Pirapora,70
Campos Gerais,Coqueiral,80
Muriaé,Reduto,210
Belo Horizonte,Jaboticatubas,75
Campo do Meio,Varginha,175
Itacambira,Juramento,100
Coluna,Divinolândia de Minas,260
Areado,Cabo Verde,90
Bela Vista de Minas,Nova Era,20
Bom Sucesso,Nazareno,60
Itaú de Minas,Passos,20
Piranguinho,São José do Alegre,20
Araçuaí,Catuji,180
Bom Repouso,Estiva,35
Águas Vermelhas,Almenara,225
Alpercata,Tarumirim,90
Alterosa,Poços de Caldas,225
Mamonas,Montes Claros,270
Belo Horizonte,Medina,570
Itaobim,Itinga,36
Passos,São Sebastião do Paraíso,55
Alpinópolis,Poços de Caldas,335
Além Paraíba,Estrela Dalva,60
Bom Jesus do Galho,Timóteo,150
Bonfim,Brumadinho,60
Campanha,Monsenhor Paulo,30
Cataguases,Ubá,90
Itanhandu,Lambari,150
Itatiaiuçu,Itaúna,30
Lambari,Pouso Alto,120
Lavras,São Bento Abade,105
Prados,São João del Rei,45
Belo Horizonte,Morro do Pilar,240
Itajubá,Varginha,240
