freq,casos,p_rt1,p_inc100k,nivel
1606,6,0,24,1
1606,1,0,4,1
1606,9,0,36,1
1606,4,0,16,1
1606,10,0,40,1
1606,4,0,16,1
1606,12,0,49,1
1606,22,0,94,4
1606,97,1,454,4
1606,104,1,503,4
1606,99,0,495,4
1606,93,0,495,4
1606,76,0,430,4
1606,77,0,491,4
1606,38,0,286,4
277,0,0,0,1
277,0,0,0,1
277,0,0,0,1
277,0,0,0,1
277,0,0,0,1
277,0,0,0,1
277,0,0,0,1
277,0,0,0,1
277,0,0,0,1
277,0,0,0,1
277,0,0,0,1
277,0,0,0,1
277,0,0,0,1
277,0,0,0,1
277,0,0,0,1
277,0,0,0,1
277,0,0,0,1
277,0,0,0,1
277,0,0,0,1
277,0,0,0,1
277,0,0,0,1
277,0,0,0,1
277,0,0,0,1
277,0,0,0,1
277,0,0,0,1
277,0,0,0,1
277,0,0,0,1
277,0,0,0,1
277,0,0,0,1
277,0,0,0,1
277,0,0,0,1
277,1,0,42,1
277,0,0,0,1
277,0,0,0,1
277,0,0,0,1
277,0,0,0,1
277,0,0,0,1
277,0,0,0,1
277,0,0,0,1
277,0,0,0,1
277,0,0,0,1
277,0,0,0,1
277,0,0,0,1
277,0,0,0,1
277,0,0,0,1
277,0,0,0,1
277,0,0,0,1
277,0,0,0,1
277,0,0,0,1
277,0,0,0,1
277,0,0,0,1
277,0,0,0,1
277,0,0,0,1
277,0,0,0,1
277,0,0,0,1
277,0,0,0,1
277,0,0,0,1
277,0,0,0,1
277,0,0,0,1
277,0,0,0,1
277,0,0,0,1
277,0,0,0,1
277,0,0,0,1
277,0,0,0,1
277,1,0,42,1
277,0,0,0,1
277,2,0,84,1
277,0,0,0,1
277,1,0,42,1
277,0,0,0,1
277,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,1,0,82,1
0,0,0,0,1
0,1,0,82,1
0,0,0,0,1
0,0,0,0,1
