@RELATION info_dengue

@ATTRIBUTE casos      NUMERIC
@ATTRIBUTE p_rt1      NUMERIC
@ATTRIBUTE p_inc100k  NUMERIC
@ATTRIBUTE nivel      {1,2,3,4}

@DATA
6,0.93069,24.5831,1
1,0.102088,4.09719,1
9,0.9228430000000001,36.8747,1
4,0.421828,16.3887,1
10,0.878444,40.9719,1
4,0.22648800000000002,16.3887,1
12,0.88282,49.1662,1
22,0.9951139999999999,94.2353,4
97,1.0,454.788,4
104,1.0,503.954,4
99,0.996817,495.759,4
93,0.814366,495.759,4
76,0.233078,430.204,4
77,0.625178,491.662,4
38,0.0015693,286.803,4
4,0.556349,5.037719999999999,1
6,0.8336680000000001,7.55658,1
1,0.0902608,1.2594299999999998,1
7,0.8376120000000001,8.81601,1
6,0.717804,7.55658,1
5,0.50746,6.29715,1
4,0.32505700000000004,5.037719999999999,1
10,0.885217,12.5943,1
12,0.9087729999999999,15.1132,1
4,0.11692000000000001,5.037719999999999,1
4,0.11218199999999999,5.037719999999999,2
4,0.225306,5.037719999999999,2
6,0.64145,7.55658,1
6,0.660983,7.55658,1
6,0.5921390000000001,7.55658,1
