Id,d1 (18-17),d1 (18-17) ABS,negpos1,d2 (19-18),d2 (19-18) ABS,negpos2,d1 (18-17)p,d2 (19-18)p
Taiobeiras,-12.14,12.14,0,310.11,310.11,1,0,310.11
Taparuba,62.65,62.65,1,1573.33,1573.33,1,62.65,1573.33
Tapira,-22.02,22.02,0,21.23,21.23,1,0,21.23
Tapiraí,0,0,0,0,0,0,0,0
Taquaraçu de Minas,-49.63,49.63,0,2145.5,2145.5,1,0,2145.5
Tarumirim,-224.9,224.9,0,-26.82,26.82,0,0,0
Teixeiras,-8.51,8.51,0,34.47,34.47,1,0,34.47
Teófilo Otoni,-913.59,913.59,0,-1.34,1.34,0,0,0
Timóteo,453.2,453.2,1,-525.38,525.38,0,453.2,0
Tiradentes,-39.27,39.27,0,2371.29,2371.29,1,0,2371.29
Tiros,-29.11,29.11,0,152.93,152.93,1,0,152.93
Tocantins,786.34,786.34,1,1430.53,1430.53,1,786.34,1430.53
Tocos do Moji,-24.25,24.25,0,0,0,0,0,0
Toledo,-32.5,32.5,0,16.08,16.08,1,0,16.08
Tombos,11.4,11.4,1,159.31,159.31,1,11.4,159.31
Três Corações,-1301.39,1301.39,0,45.63,45.63,1,0,45.63
Três Marias,282.35,282.35,1,2879.33,2879.33,1,282.35,2879.33
Três Pontas,-343,343,0,2688.75,2688.75,1,0,2688.75
Tumiritinga,-286.3,286.3,0,-43.97,43.97,0,0,0
Tupaciguara,-51.88,51.88,0,131.7,131.7,1,0,131.7
Turmalina,-2699.24,2699.24,0,681.86,681.86,1,0,681.86
Turvolândia,0,0,0,59.9,59.9,1,0,59.9
Ubá,1367.35,1367.35,1,-1283.68,1283.68,0,1367.35,0
Ubaí,31.92,31.92,1,4516.45,4516.45,1,31.92,4516.45
Ubaporanga,31.65,31.65,1,-15.51,15.51,0,31.65,0
Uberaba,54.8,54.8,1,1431.3,1431.3,1,54.8,1431.3
Uberlândia,1.37,1.37,1,5273.1,5273.1,1,1.37,5273.1
Umburatiba,-73.34,73.34,0,76.16,76.16,1,0,76.16
Unaí,451.52,451.52,1,3282.77,3282.77,1,451.52,3282.77
União de Minas,67.39,67.39,1,764.98,764.98,1,67.39,764.98
Uruana de Minas,-239.84,239.84,0,1378.71,1378.71,1,0,1378.71
Urucânia,9.44,9.44,1,97.02,97.02,1,9.44,97.02
Urucuia,12.21,12.21,1,1854.81,1854.81,1,12.21,1854.81
Vargem Alegre,-105.49,105.49,0,-28.85,28.85,0,0,0
Vargem Bonita,0,0,0,370.71,370.71,1,0,370.71
Vargem Grande do Rio Pardo,0,0,0,60.16,60.16,1,0,60.16
Varginha,-273.94,273.94,0,25.26,25.26,1,0,25.26
Varjão de Minas,-15.58,15.58,0,932.88,932.88,1,0,932.88
Várzea da Palma,2.01,2.01,1,3614.69,3614.69,1,2.01,3614.69
Varzelândia,-2461.89,2461.89,0,2429.62,2429.62,1,0,2429.62
Vazante,192.33,192.33,1,3303.91,3303.91,1,192.33,3303.91
Verdelândia,249.07,249.07,1,-98.46,98.46,0,249.07,0
Veredinha,0,0,0,17.51,17.51,1,0,17.51
Veríssimo,50.57,50.57,1,5947.08,5947.08,1,50.57,5947.08
Vermelho Novo,0,0,0,0,0,0,0,0
Vespasiano,-3.85,3.85,0,1606.01,1606.01,1,0,1606.01
Viçosa,7.5,7.5,1,513.52,513.52,1,7.5,513.52
Vieiras,0,0,0,27.56,27.56,1,0,27.56
Virgem da Lapa,-0.01,0.01,0,72.8,72.8,1,0,72.8
Virgínia,0,0,0,0,0,0,0,0
Virginópolis,0,0,0,9.49,9.49,1,0,9.49
Virgolândia,17.97,17.97,1,259.57,259.57,1,17.97,259.57
Visconde do Rio Branco,1617.2,1617.2,1,-939.65,939.65,0,1617.2,0
Volta Grande,0,0,0,324.24,324.24,1,0,324.24
Wenceslau Braz,0,0,0,39.09,39.09,1,0,39.09
