Id,d1 (18-17),d1 (18-17) ABS,negpos1,d2 (19-18),d2 (19-18) ABS,negpos2,d1 (18-17)p,d2 (19-18)p
Fronteira,61.31,61.31,1,2339.51,2339.51,1,61.31,2339.51
Fronteira dos Vales,-105.08,105.08,0,22.34,22.34,1,0,22.34
Fruta de Leite,17.52,17.52,1,1489.56,1489.56,1,17.52,1489.56
Frutal,23.43,23.43,1,2731.78,2731.78,1,23.43,2731.78
Funilândia,-0.9,0.9,0,4042.46,4042.46,1,0,4042.46
Galiléia,-226.43,226.43,0,-13.43,13.43,0,0,0
Gameleiras,876.86,876.86,1,2617.87,2617.87,1,876.86,2617.87
Glaucilândia,314.33,314.33,1,2268.15,2268.15,1,314.33,2268.15
Goiabeira,690.65,690.65,1,-691.1,691.1,0,690.65,0
Goianá,75.91,75.91,1,1116.98,1116.98,1,75.91,1116.98
Gonçalves,0,0,0,0,0,0,0,0
Gonzaga,-242.4,242.4,0,455.66,455.66,1,0,455.66
Gouvêa,8.27,8.27,1,1251.22,1251.22,1,8.27,1251.22
Governador Valadares,-995.26,995.26,0,48.18,48.18,1,0,48.18
Grão Mogol,0,0,0,1064.71,1064.71,1,0,1064.71
Grupiara,-282.49,282.49,0,7343.41,7343.41,1,0,7343.41
Guanhães,-0.22,0.22,0,67.54,67.54,1,0,67.54
Guapé,-6.94,6.94,0,309.14,309.14,1,0,309.14
Guaraciaba,18.97,18.97,1,-18.97,18.97,0,18.97,0
Guaraciama,1578.89,1578.89,1,883.92,883.92,1,1578.89,883.92
Guaranésia,-51.72,51.72,0,1729.4,1729.4,1,0,1729.4
Guarani,596.8,596.8,1,3121.32,3121.32,1,596.8,3121.32
Guarará,0.16,0.16,1,184.14,184.14,1,0.16,184.14
Guarda-Mor,178.16,178.16,1,6362.06,6362.06,1,178.16,6362.06
Guaxupé,5.41,5.41,1,164.77,164.77,1,5.41,164.77
Guidoval,1068.7,1068.7,1,-1066.99,1066.99,0,1068.7,0
Guimarânia,-103.37,103.37,0,2057.32,2057.32,1,0,2057.32
Guiricema,1193.71,1193.71,1,-1109.45,1109.45,0,1193.71,0
Gurinhatã,-323.42,323.42,0,373.14,373.14,1,0,373.14
Heliodora,-30.81,30.81,0,0,0,0,0,0
Iapu,-28.07,28.07,0,9.69,9.69,1,0,9.69
Ibertioga,-38.79,38.79,0,0,0,0,0,0
Ibiá,-8.38,8.38,0,451.43,451.43,1,0,451.43
Ibiaí,23.68,23.68,1,1868.25,1868.25,1,23.68,1868.25
Ibiracatu,-1801.49,1801.49,0,785.35,785.35,1,0,785.35
Ibiraci,-0.9,0.9,0,401.48,401.48,1,0,401.48
Ibirité,-4.23,4.23,0,2974.29,2974.29,1,0,2974.29
Ibitiúra de Minas,0,0,0,0,0,0,0,0
Ibituruna,0,0,0,0,0,0,0,0
Icaraí de Minas,312.48,312.48,1,32.49,32.49,1,312.48,32.49
Igarapé,-103.66,103.66,0,5481.73,5481.73,1,0,5481.73
Igaratinga,63.96,63.96,1,632.54,632.54,1,63.96,632.54
Iguatama,220.33,220.33,1,4961.63,4961.63,1,220.33,4961.63
Ijaci,-47.53,47.53,0,107.82,107.82,1,0,107.82
Ilicínea,-0.1,0.1,0,40.68,40.68,1,0,40.68
Imbé de Minas,-15.62,15.62,0,15,15,1,0,15
Inconfidentes,-55,55,0,137.16,137.16,1,0,137.16
Indaiabira,-13.28,13.28,0,652.2,652.2,1,0,652.2
Indianópolis,29.39,29.39,1,1449.6,1449.6,1,29.39,1449.6
Ingaí,-36.18,36.18,0,0,0,0,0,0
Inhapim,-442.88,442.88,0,17.22,17.22,1,0,17.22
Inhaúma,-49.35,49.35,0,2504.91,2504.91,1,0,2504.91
Inimutaba,-67.76,67.76,0,1339.27,1339.27,1,0,1339.27
Ipaba,23.49,23.49,1,-637.63,637.63,0,23.49,0
Ipanema,-0.07,0.07,0,314.45,314.45,1,0,314.45
Ipatinga,177.51,177.51,1,-500.86,500.86,0,177.51,0
Ipiaçu,-70.97,70.97,0,2516.64,2516.64,1,0,2516.64
Ipuiúna,9.88,9.88,1,29.96,29.96,1,9.88,29.96
Iraí de Minas,14.18,14.18,1,619.34,619.34,1,14.18,619.34
Itabira,-40.29,40.29,0,29.39,29.39,1,0,29.39
Itabirinha de Mantena,-175.95,175.95,0,61.16,61.16,1,0,61.16
Itabirito,-14.27,14.27,0,122.76,122.76,1,0,122.76
Itacambira,0,0,0,186.81,186.81,1,0,186.81
