Id,norm-2017,norm-2018,norm-2019,,,,,
Cantagalo,0.002747727911,0,0.1063579235,,,,,
Caparaó,0,0,0.006784679945,,,,,
Capela Nova,0,0,0.005250122973,,,,,
Capelinha,0.004271244905,0.0006476787219,0.01522903661,,,,,
Capetinga,0.003415033261,0,0.1623318397,,,,,
Capim Branco,0.003859085718,0.002535514997,0.4891961547,,,,,
Capinópolis,0.02969263474,0.0943586938,0.2718471969,,,,,
Capitão Andrade,0,0.002269328855,0.004526391068,,,,,
Capitão Enéas,0.003255566909,0.01610119489,0.1100943427,,,,,
Capitólio,0.008546169802,0,0.1169477159,,,,,
Caputira,0,0,0.009245368422,,,,,
Caraí,0.004163298451,0.001031624631,0.004160845123,,,,,
Caranaíba,0,0.00743603866,0.007666651538,,,,,
Carandaí,0.001958982801,0.003384366655,0.01501437037,,,,,
Carangola,0.001465863774,0.001096637836,0.04090311928,,,,,
Caratinga,0.006215507735,0.001869436311,0.003083833915,,,,,
Carbonita,0,0,0.0274159459,,,,,
Careaçu,0,0,0.03467779824,,,,,
Carlos Chagas,0.02149729091,0.004347298088,0.007098705992,,,,,
Carmésia,0,0.004666230792,0.009374168168,,,,,
Carmo da Cachoeira,0.005982441528,0.002979567454,0,,,,,
Carmo da Mata,0.003206500339,0.002122129146,0.01394103916,,,,,
Carmo de Minas,0,0,0.0008304516946,,,,,
Carmo do Cajuru,0.007900944409,0.002771034532,0.1289653455,,,,,
Carmo do Paranaíba,0.001593436856,0.001192317647,0.0695776227,,,,,
Carmo do Rio Claro,0.001149384399,0.001714876616,0.1007741478,,,,,
Carmópolis de Minas,0.005929694965,0.003875032353,0.2588654092,,,,,
Carneirinho,0.02334219394,0.003654232789,0.07247500365,,,,,
Carrancas,0,0,0.01516647674,,,,,
Carvalhópolis,0,0,0.006891399734,,,,,
Carvalhos,0,0,0.002729327947,,,,,
Casa Grande,0.01063027236,0.00531268285,0,,,,,
Cascalho Rico,0,0.007989264235,0.06018996123,,,,,
Cássia,0,0.001359143985,0.1154818521,,,,,
Cataguases,0.004465057856,0.003596579569,0.01445255815,,,,,
Catas Altas,0.004690764077,0.002307355447,0.01150733729,,,,,
Catas Altas da Noruega,0,0.003346340063,0.0270418133,,,,,
Catuji,0.003671406088,0.00185471634,0,,,,,
Catuti,0.03319108117,0.1071638419,0.2498396136,,,,,
Caxambu,0.003862765711,0.002761221218,0.01412994545,,,,,
Cedro do Abaeté,0,0.01014573998,0.09427773396,,,,,
Central de Minas,0.0277520519,0.00344937986,0,,,,,
Centralina,0.05089920623,0.0727546831,0.2153286418,,,,,
Chácara,0.02822677097,0,0.1257711118,,,,,
Chalé,0.004217271678,0,0.002149115759,,,,,
Chapada do Norte,0,0.000782611789,0.0007985584242,,,,,
Chapada Gaúcha,0.006871773106,0.00756606507,0.328709218,,,,,
Chiador,0,0,0,,,,,
Cipotânea,0,0,0.001810556427,,,,,
Claraval,0.002555141625,0,0.07650704903,,,,,
Claro dos Poções,0.001560316921,0.01098232499,0.2828282952,,,,,
Cláudio,0.005289376229,0.002168742387,0.03848781738,,,,,
Coimbra,0,0.003245753595,0.01958246802,,,,,
Coluna,0.002672901392,0,0.06886002412,,,,,
Comendador Gomes,0.01181032336,0,0.04743755972,,,,,
Comercinho,0.004696897398,0,0,,,,,
Conceição da Aparecida,0.005953001586,0.003547513,0.008368303487,,,,,
Conceição da Barra de Minas,0,0.006057268047,0.009288301671,,,,,
Conceição das Alagoas,0.0212163848,0.07684315503,0.2021702144,,,,,
Conceição das Pedras,0,0.004292098197,0.008727716111,,,,,
Conceição de Ipanema,0,0,0,,,,,
Conceição do Mato Dentro,0.004044312019,0.006090387982,0.3421117516,,,,,
Conceição do Pará,0.002247248899,0.01112093805,0.1410222284,,,,,
Conceição do Rio Verde,0,0,0.0009028248851,,,,,
Conceição dos Ouros,0.002178555701,0,0.001064744566,,,,,
Cônego Marinho,0.01297320107,0.004826923808,0.6250418599,,,,,
Confins,0.01325533384,0.007424998681,0.1087180255,,,,,
Congonhal,0.002140529109,0,0.003115727185,,,,,
Congonhas,0.00301882071,0.002050982619,0.05771577944,,,,,
Congonhas do Norte,0,0,0.0024324752,,,,,
Conquista,0.01779031156,0.02467435131,0.2965448548,,,,,
Conselheiro Lafaiete,0.002151569088,0.003563459635,0.04058786657,,,,,
Conselheiro Pena,0.04505660442,0.01161160375,0.01875446966,,,,,
Consolação,0,0,0.006884039749,,,,,
Contagem,0.01663847383,0.01022547316,0.4670315584,,,,,
Coqueiral,0.00648292054,0.003902018967,0.013346107,,,,,
Coração de Jesus,0.004093378589,0.003174607069,0.2569383196,,,,,
Cordisburgo,0.001362823977,0.001359143985,0.1298056105,,,,,
Cordislândia,0.003433433225,0.003419939918,0.003471459816,,,,,
Corinto,0.01606684829,0.004527617732,0.4324788799,,,,,
Coroaci,0.008261583697,0.001186184326,0.004887030356,,,,,
Coromandel,0.003017594045,0.003011460724,0.1205528821,,,,,
Coronel Fabriciano,0.09556450475,0.3525690643,0.01592087525,,,,,
Coronel Murta,0.006524627125,0,0.01063395235,,,,,
Coronel Pacheco,0,0,0.1075318411,,,,,
Coronel Xavier Chaves,0.01066339229,0.003534019693,0.01432130507,,,,,
Córrego Danta,0.003617432862,0.007303558921,0.03027898025,,,,,
Córrego do Bom Jesus,0,0,0.003303406815,,,,,
Córrego Fundo,0.003952312201,0,0.02730309279,,,,,
Córrego Novo,0.01213661605,0.004130178516,0,,,,,
Couto de Magalhães de Minas,0.09174957895,0,0.1702156108,,,,,
Crisólita,0,0.005549429049,0.00184612969,,,,,
Cristais,0.0009960513678,0,0.6520898065,,,,,
Cristália,0.002041169305,0.02030251994,0.0411631721,,,,,
Cristiano Otoni,0.002357648681,0.004695670734,0.02384144629,,,,,
Cristina,0,0.003510713072,0.00119599764,,,,,
Crucilândia,0.004893163677,0.002425115214,0.09296642988,,,,,
Cruzeiro da Fortaleza,0.002962394154,0.005878175067,0.1216581066,,,,,
Cruzília,0.002394448608,0,0.001597116848,,,,,
Cuparaque,0.04463340526,0.1080544001,0.1013972932,,,,,
Curral de Dentro,0.01473714425,0.001609383491,0.03524942377,,,,,
Curvelo,0.0152363966,0.002150342423,0.5439691666,,,,,
Datas,0.002254608884,0.004484684484,0.02499205735,,,,,
Delfim Moreira,0,0.001495303716,0,,,,,
Delfinópolis,0.001717329944,0,0.09850604561,,,,,
Delta,0.001291677451,0.1399562572,0.3730887038,,,,,
Descoberto,0.002448421835,0.007291292279,0.07365873465,,,,,
Desterro de Entre Rios,0,0,0.03053044642,,,,,
Desterro do Melo,0,0,0.105058886,,,,,
Diamantina,0.04655804146,0.007122012613,0.1733718179,,,,,
Diogo de Vasconcelos,0,0.006269480962,0.003216313653,,,,,
Dionísio,0,0,0.08279860994,,,,,
Divinésia,0.003569592956,0.01775228497,0,,,,,
Divino,0,0,0.009253955072,,,,,
Divino das Laranjeiras,0.2365462532,0,0,,,,,
Divinolândia de Minas,0.001641276761,0,0.003259246902,,,,,
Divinópolis,0.00419764505,0.004333804781,0.1340106156,,,,,
Divisa Alegre,0.005680682123,0,0.1500848238,,,,,
Divisa Nova,0.06508557823,0.04043085355,0.01227522911,,,,,
Divisópolis,0,0,0,,,,,
Dom Bosco,0.006382334072,0,0.3084066981,,,,,
Dom Cavati,0.002325755411,0.007014066159,0.002406715251,,,,,
Dom Joaquim,0,0,0.005473375866,,,,,
Dom Silvério,0,0,0.04445308561,,,,,
Dom Viçoso,0,0,0,,,,,
Dona Euzébia,0.005718708715,0.0075169985,0.007521905157,,,,,
Dores de Campos,0.00246436847,0,0.07665915539,,,,,
Dores de Guanhães,0.00460489758,0,0,,,,,
Dores do Indaiá,0.01052723256,0.06079102671,0.05797705893,,,,,
Dores do Turvo,0,0.01105837818,0.008580516401,,,,,
Doresópolis,0.008075130732,0.008001530877,0.05645354193,,,,,
Douradoquara,0.02555509624,0,0.1545400684,,,,,
Durandé,0,0,0.00314026047,,,,,
Elói Mendes,0.04183661078,0.0004428257928,0.01410786549,,,,,
Engenheiro Caldas,0.05595060959,0.003315673457,0.005543295728,,,,,
Engenheiro Navarro,0,0,0.2235227589,,,,,
Entre Folhas,0.002277915505,0.00450676444,0.2630851342,,,,,
Entre Rios de Minas,0,0.002406715251,0.03225145636,,,,,
Ervália,0.0006501320504,0.001290450787,0.001302717429,,,,,
Esmeraldas,0.02482277768,0.009776514041,0.2079392163,,,,,
Espera Feliz,0,0.001978609429,0.006931879654,,,,,
Espinosa,0.0003814925805,0.004569324317,0.154380602,,,,,
Espírito Santo do Dourado,0.002626288151,0,0.005250122973,,,,,
Estiva,0,0,0,,,,,
Estrela Dalva,0,0,0,,,,,
Estrela do Indaiá,0.1193912311,0.181094896,0.258759916,,,,,
Estrela do Sul,0,0.0107590721,0.09583314422,,,,,
Eugenópolis,0.00549177583,0.006522173796,0.09731986129,,,,,
Ewbank da Câmara,0,0,0.015709889,,,,,
Extrema,0.001112584471,0.0003569592956,0.00138367727,,,,,
Fama,0.03037588672,0.01011262004,0.02578080246,,,,,
Faria Lemos,0,0,0.003760952578,,,,,
Felício dos Santos,0,0,0.01276712147,,,,,
Felisburgo,0.006686546805,0.001651090075,0.004966763532,,,,,
Felixlândia,0.0244069385,0.01365399972,0.779396702,,,,,
Fernandes Tourinho,0.02227622271,0.003640739482,0.02891370294,,,,,
Ferros,0.00115551772,0.00235151536,0.0135619999,,,,,
Fervedouro,0.002243568906,0,0.05037910059,,,,,
Florestal,0.03403134618,0.003341433406,0.4533971853,,,,,
Formiga,0.00450676444,0.005198603075,0.1284059866,,,,,
Formoso,0.002706021327,0,0.0689360773,,,,,
Fortaleza de Minas,0,0.005566602349,0.1985257949,,,,,
Fortuna de Minas,0,0.008367076822,0.1089621316,,,,,
Francisco Badaró,0,0.001161651041,0.2478708175,,,,,
Francisco Dumont,0,0.002352742024,0.4469621047,,,,,
Francisco Sá,0.01216482933,0.01903046911,0.2033429054,,,,,
Franciscópolis,0.01281128139,0.002162609066,0.01126200444,,,,,
Frei Gaspar,0.01831409719,0.002036262648,0.004164525115,,,,,
Frei Inocêncio,0.01034445959,0,0.003851725733,,,,,
Frei Lagonegro,0,0,0.03889629658,,,,,
Fronteira,0.009723767478,0.01724444597,0.304223773,,,,,
Fronteira dos Vales,0.01548172945,0.002591941552,0.005332309478,,,,,
Fruta de Leite,0,0.002149115759,0.1848681152,,,,,
Frutal,0.01549399609,0.01836807042,0.3534657558,,,,,
Funilândia,0.005846281797,0.005735882015,0.5016099968,,,,,
Galiléia,0.03300708153,0.005231723009,0.003584312927,,,,,
Gameleiras,0,0.1075612811,0.4286860341,,,,,
Glaucilândia,0.0274331192,0.06599085644,0.3442167074,,,,,
Goiabeira,0.00374132595,0.0884608921,0.003686126059,,,,,
Goianá,0,0.009311608292,0.1463275512,,,,,
Gonçalves,0,0,0,,,,,
Gonzaga,0.02973434132,0,0.05589418304,,,,,
Gouvêa,0.002036262648,0.00305071398,0.1565333978,,,,,
Governador Valadares,0.1291162252,0.007031239458,0.0129413078,,,,,
Grão Mogol,0,0,0.1306041689,,,,,
Grupiara,0.03465203829,0,0.9007898491,,,,,
Guanhães,0.001827729727,0.001800743113,0.01008563343,,,,,
Guapé,0.0008513049868,0,0.0379210985,,,,,
Guaraciaba,0,0.002326982075,0,,,,,
Guaraciama,0.01236109561,0.2060378868,0.3144651928,,,,,
Guaranésia,0.006977266232,0.000632958751,0.2127722735,,,,,
Guarani,0.002721967962,0.07592929017,0.4588104546,,,,,
Guarará,0.003094873893,0.003114500521,0.02570229595,,,,,
Guarda-Mor,0.005461109223,0.02731535943,0.8077265128,,,,,
Guaxupé,0.005435349274,0.006098974631,0.02631072141,,,,,
Guidoval,0.006696360119,0.1377899681,0.006906119705,,,,,
